t=2019-01-31T11:14:50+0700 lvl=info msg="run component" obj=controller comp=consoleui
t=2019-01-31T11:14:50+0700 lvl=info msg="run component" obj=controller comp="Tunnel session"
t=2019-01-31T11:14:50+0700 lvl=info msg="run component" obj=controller comp="memory storage"
t=2019-01-31T11:14:50+0700 lvl=info msg="run component" obj=controller comp=updater
t=2019-01-31T11:14:50+0700 lvl=info msg="run component" obj=controller comp=web
t=2019-01-31T11:14:50+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2019-01-31T11:14:51+0700 lvl=info msg="tunnel session started" obj=tunSess
t=2019-01-31T11:14:51+0700 lvl=info msg="client session established" obj=csess id=e0bd80058865
t=2019-01-31T11:15:13+0700 lvl=info msg="join connections" obj=join id=3fb3a47c6857 l=[::1]:8001 r=101.108.99.117:53178
t=2019-01-31T11:15:13+0700 lvl=info msg="join connections" obj=join id=b66a82d35e29 l=[::1]:8001 r=101.108.99.117:53179
t=2019-01-31T11:15:13+0700 lvl=info msg="join connections" obj=join id=b02f5dfc114c l=[::1]:8001 r=101.108.99.117:53180
t=2019-01-31T11:15:13+0700 lvl=info msg="join connections" obj=join id=26cc0e2fa154 l=[::1]:8001 r=101.108.99.117:53181
t=2019-01-31T11:15:13+0700 lvl=info msg="join connections" obj=join id=14e73e2c34df l=[::1]:8001 r=101.108.99.117:53182
t=2019-01-31T11:15:13+0700 lvl=info msg="join connections" obj=join id=8f4586e3e44a l=[::1]:8001 r=101.108.99.117:53183
t=2019-01-31T11:15:27+0700 lvl=info msg="join connections" obj=join id=ab102a6e7e21 l=[::1]:8001 r=101.108.99.117:53180
t=2019-01-31T11:15:28+0700 lvl=info msg="join connections" obj=join id=fa5691d3ae30 l=[::1]:8001 r=101.108.99.117:53181
t=2019-01-31T11:15:28+0700 lvl=info msg="join connections" obj=join id=68add4c5ff07 l=[::1]:8001 r=101.108.99.117:53182
t=2019-01-31T11:15:28+0700 lvl=info msg="join connections" obj=join id=f3770df6303f l=[::1]:8001 r=101.108.99.117:53183
t=2019-01-31T11:15:29+0700 lvl=info msg="join connections" obj=join id=08a008479c54 l=[::1]:8001 r=101.108.99.117:53185
t=2019-01-31T11:15:29+0700 lvl=info msg="join connections" obj=join id=e5a01a15fa57 l=[::1]:8001 r=101.108.99.117:53186
t=2019-01-31T11:15:53+0700 lvl=info msg="join connections" obj=join id=c86fce773f10 l=[::1]:8001 r=101.108.99.117:53185
t=2019-01-31T11:15:53+0700 lvl=info msg="join connections" obj=join id=686db94b58c9 l=[::1]:8001 r=101.108.99.117:53186
t=2019-01-31T11:15:53+0700 lvl=info msg="join connections" obj=join id=00d891480e13 l=[::1]:8001 r=101.108.99.117:53178
t=2019-01-31T11:16:01+0700 lvl=info msg="join connections" obj=join id=781ab2261d73 l=[::1]:8001 r=101.108.99.117:53185
t=2019-01-31T11:16:01+0700 lvl=info msg="join connections" obj=join id=7f3193da6615 l=[::1]:8001 r=101.108.99.117:53186
t=2019-01-31T11:16:01+0700 lvl=info msg="join connections" obj=join id=27d2aecf3cad l=[::1]:8001 r=101.108.99.117:53178
t=2019-01-31T11:16:03+0700 lvl=info msg="join connections" obj=join id=6c3291b27aa5 l=[::1]:8001 r=101.108.99.117:53182
t=2019-01-31T11:16:03+0700 lvl=info msg="join connections" obj=join id=83deb4075711 l=[::1]:8001 r=101.108.99.117:53183
t=2019-01-31T11:16:03+0700 lvl=info msg="join connections" obj=join id=c2e2cf12348e l=[::1]:8001 r=101.108.99.117:53180
